Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
2020/7/16,96.52,96.32,178.7,138.56,45.78,88.36,119.43,54.78,214.67,258.08,124.01,59.14,149.25,100.01,46.15,190.92,160.5,79.4,203.92,97.26,35.6,124.76,120.5,307.15,62.369999,193.5,55.78,41.35,132.2,44.28
2020/7/17,96.33,95.18,175.66,136.9,46.75,87.19,118.65,54.52,211.41,260.38,125.11,60,149.35,98.16,46.82,191.48,159.83,79.87,202.88,96.28,36.25,125.63,119.16,306.53,62.200001,195.09,56.3,41.42,131.74,43.52
2020/7/20,98.36,94,174.42,134.63,46.97,85.27,117.79,53.15,211.71,260.17,126.37,61.15,149.6,97.3,46.12,191.61,156.37,79.41,211.6,95.65,36.5,125.24,118.77,303.46,61.41,198.47,55.87,40.46,131.47,42.5
2020/7/21,97,96.33,178.63,135.87,47.02,91.39,118.62,53.93,212.02,262.42,126.06,60.7,149.74,99.41,47.2,192.98,157.8,78.89,208.75,98.36,36.69,125.07,120.42,305.11,63.049999,196.48,55.84,40.41,132.33,44.65
2020/7/22,97.27,96.54,179.79,136.98,46.9,91.04,119.03,54.43,206,265.17,128.67,61.05,150.01,98.69,48.48,198.62,158.71,78.78,211.75,98.91,38.56,126.14,122.24,306.71,63.630001,198.86,55.75,40.69,132.66,43.61
2020/7/23,92.85,96.67,176.45,136.6,47.41,91.01,118.12,55.35,203.02,263.81,127.33,60.4,149.61,98.98,48.28,197.55,159.29,78.06,202.54,98.3,38.41,126.16,118.61,302.97,63.119999,197.43,55.85,40.34,131.64,43.7
2020/7/24,92.62,95.33,173.76,137.58,46.4,90.13,117.61,54.55,201.47,265.31,125.79,50.59,148.12,98.28,48.49,198.72,159.84,77.1,201.3,98.43,37.66,125.96,118.28,300.79,62.07,195.15,56.85,40.51,131.24,43.43
2020/7/27,94.81,95.79,170.21,139.89,47.19,91.04,116.31,55.35,203.02,267.42,126.21,49.57,147.18,96.9,48.48,201.25,163.24,78.93,203.85,97.21,37.54,126.32,116.63,298.6,61.09,196.91,56.87,39.84,131.21,44.07
2020/7/28,93.25,94.42,170.84,138.03,46.28,89.11,116.18,54.02,201.62,265.28,124.47,49.24,146.83,97.32,48.18,196.24,155.33,79.69,202.02,96.27,39.02,127.88,115.03,299.93,61,196.74,57.48,40.68,131.76,43.55
2020/7/29,95.04,96.69,166.01,140.53,46.71,90.07,115.61,55.52,202.58,264.66,125.32,48.07,146.54,99.68,48.02,196.21,156.25,79.35,204.06,96.97,39.26,128.31,116.85,306.68,59.400002,198.58,57.45,41.16,130.69,44.03
2020/7/30,96.19,94.65,161.95,136.73,46.44,86.27,115.66,53.76,199.53,266.31,122.9,47.99,146.84,97.02,47.69,195.41,152.12,78.99,203.9,96.82,38.74,131.42,115.93,305.23,57.459999,194.06,57.3,40.64,130.12,41.87
2020/7/31,106.26,93.32,158,132.88,47.1,83.94,116.94,53.48,197.96,265.49,122.94,47.73,145.76,96.64,47.24,194.28,150.47,80.24,205.01,97.61,38.48,131.12,114.42,302.78,56.68,190.4,57.48,40.71,129.4,42.08
